level,year,version,code,name,canton,originCount,totalWeight,avgTotalMin,avgRollingMin,avgDwellMin,avgTransferMin,avgWaitingMin,rollingPct,dwellPct,transferPct,cellsWithDemand,pathsWithDemand
station,2026,v0,Aigle,Aigle,VD,1,4776.730646,27.669674,24.645218,1.923158,1.101298,10.867572,89.06942,6.950418,3.980162,1542,5622
canton,2026,v0,VD,VD,VD,227,182986.865825,25.359485,22.18684,1.754226,1.418419,11.454737,87.489315,6.917434,5.59325,263399,720856
municipality,2026,v0,5401,Aigle,VD,8,5292.26361,27.320532,23.988366,1.870473,1.461693,12.641135,87.803437,6.8464,5.350163,9900,22331
station,2026,v0,Aigle-Château,Aigle-Château,VD,1,49.948352,23.815232,17.196138,1.371974,5.247121,29.073948,72.206467,5.760909,22.032625,1166,2331
station,2026,v0,Aigle-Dépôt,Aigle-Dépôt,VD,1,82.778902,23.096127,16.709642,1.230145,5.15634,29.198742,72.348243,5.326195,22.325563,1221,2441
station,2026,v0,Aigle-Parc Aventure,Aigle-Parc Aventure,VD,1,47.546975,24.708372,18.067582,1.57608,5.064711,29.038167,73.123318,6.378728,20.497954,1166,2331
station,2026,v0,Aigle-Place-du-Marché,Aigle-Place-du-Marché,VD,1,173.942985,21.547463,15.794029,1.191386,4.562049,29.26958,73.298786,5.529122,21.172091,1284,2567
station,2026,v0,Airolo,Airolo,TI,1,291.056262,38.431849,35.062153,1.928642,1.441055,29.387744,91.232021,5.018342,3.749636,1279,2553
municipality,2026,v0,5061,Airolo,TI,1,291.056262,38.431849,35.062153,1.928642,1.441055,29.387744,91.232021,5.018342,3.749636,1279,2553
station,2026,v0,Albeuve,Albeuve,FR,1,27.645405,18.611223,14.721561,1.54983,2.339832,28.82205,79.100449,8.327396,12.572154,1219,2697
canton,2026,v0,FR,FR,FR,60,34270.072443,33.689752,28.433285,2.392477,2.86399,13.090816,84.397429,7.101498,8.501073,87272,278852
municipality,2026,v0,2121,Haut-Intyamon,FR,7,632.088197,32.597037,27.333576,3.553558,1.709904,28.753377,83.852945,10.901474,5.245581,8183,19791
station,2026,v0,Allaman,Allaman,VD,1,2474.865626,23.035048,19.953631,2.253852,0.827564,12.118242,86.622922,9.784447,3.592631,1471,5010
municipality,2026,v0,5851,Allaman,VD,1,2474.865626,23.035048,19.953631,2.253852,0.827564,12.118242,86.622922,9.784447,3.592631,1471,5010
station,2026,v0,Alle,Alle,JU,1,77.509795,15.078883,12.548789,0.997718,1.532377,15.821337,83.220941,6.616657,10.162401,1404,4618
canton,2026,v0,JU,JU,JU,31,7604.449861,29.479378,25.629112,1.916867,1.933399,15.87294,86.939121,6.502398,6.558481,38718,110553
municipality,2026,v0,6771,Alle,JU,1,77.509795,15.078883,12.548789,0.997718,1.532377,15.821337,83.220941,6.616657,10.162401,1404,4618
station,2026,v0,Allières,Allières,FR,1,24.932233,38.499798,32.13265,4.298717,2.068432,29.030571,83.461865,11.165557,5.372579,1038,3127
station,2026,v0,Allmend,Allmend,BE,1,122.340353,25.214446,21.356902,2.258513,1.599032,15.013473,84.701054,8.957217,6.34173,1311,4533
municipality,2026,v0,584,Lauterbrunnen,BE,7,1715.685836,28.74607,24.650097,2.399034,1.696938,15.136825,85.751192,8.345609,5.903199,8817,30172
station,2026,v0,Alp Grüm,Alp Grüm,GR,1,502.295074,61.835373,57.220408,4.456935,0.158031,29.891477,92.53669,7.207743,0.255567,477,953
