category,rank,year,origin,destination,daily_pax,baseline_total_min,step3_total_min,saved_total_min,saved_total_sec,saved_pax_min_day,baseline_rolling_min,step3_rolling_min,baseline_dwell_min,step3_dwell_min,baseline_transfer_min,step3_transfer_min,baseline_waiting_min,step3_waiting_min,waiting_delta_min,baseline_rolling_share,step3_rolling_share,delta_rolling_share,origin_row_idx,destination_idx
largest_passenger_minute_improvements,1,2026,Lugano,Bellinzona,3425.5753602400005,20.854054054054053,15.769369369369372,5.084684684684682,305.0810810810809,17417.97057044554,18.945945945945944,15.503003003003005,1.4432432432432432,0.26636636636636635,0.46486486486486484,0.0,6.246621621621621,10.197972972972973,3.9513513513513523,0.9085018144116122,0.9831086227909811,0.07460680837936895,827,89
largest_passenger_minute_improvements,2,2026,Genève,Lausanne,4452.90900609,42.34191176470588,41.28308823529413,1.0588235294117467,63.529411764704804,4714.844829977566,39.92149402510662,39.756052848636045,2.4204177395992597,1.527035386658083,0.0,0.0,6.386764705882353,6.626654411764705,0.23988970588235237,0.942836361450812,0.9630106309403331,0.02017426948952117,456,725
largest_passenger_minute_improvements,3,2026,Bellinzona,Lugano,3087.27383736,16.403024911032034,15.086298932384345,1.316725978647689,79.00355871886134,4065.0936648512525,14.592526690391463,14.41696322657177,0.23042704626334523,0.14264531435349942,1.5800711743772244,0.5266903914590748,10.53963523131673,10.605471530249108,0.06583629893237841,0.8896241254000108,0.9556328753120638,0.06600874991205297,89,827
largest_passenger_minute_improvements,4,2026,Zürich HB,Winterthur,9584.457216800001,23.253141831238775,23.002690582959648,0.250451248279127,15.02707489674762,2400.439274025448,20.906874625972467,20.84534038689521,2.346267205266307,2.157350196064438,0.0,0.0,3.427962298025134,3.42713004484305,-0.0008322531820836865,0.8990989165122503,0.9062131367509416,0.007114220238691349,1574,1511
largest_passenger_minute_improvements,5,2026,Brugg AG,Zürich HB,3422.61762197,27.821621621621627,27.158558558558564,0.6630630630630634,39.783783783783804,2269.411324117046,25.183275583275588,24.88442288442289,2.638346038346038,2.274135674135674,0.0,0.0,7.7754954954954965,8.0790990990991,0.3036036036036034,0.9051692214699791,0.9162644928584025,0.011095271388423367,179,1574
largest_passenger_minute_improvements,6,2026,Bern,Neuchâtel,1300.92138146,39.64522058823529,38.28860294117648,1.3566176470588118,81.39705882352871,1764.8529035247643,35.58614393674136,35.35436395202021,3.4634884161998127,2.338650753862151,0.5955882352941176,0.5955882352941176,15.908042279411765,15.908042279411765,0.0,0.8976149812949089,0.9233652114791392,0.025750230184230283,99,953
largest_passenger_minute_improvements,7,2026,Genève,Lancy-Bachet,2009.61482953,9.0,8.190771960958298,0.8092280390417024,48.55368234250214,1626.2366677296868,7.881882770870337,7.640343093759244,1.1181172291296626,0.5504288671990535,0.0,0.0,5.6340586145648315,5.938287488908606,0.30422887434377444,0.8757647523189264,0.9327989022496659,0.05703414993073952,456,704
largest_passenger_minute_improvements,8,2026,Genève,Annemasse,1958.7554864500003,24.233123312331237,23.42754275427542,0.8055805580558157,48.334833483348945,1577.935337869282,21.200756075607565,20.940012392543597,3.032367236723672,2.487530361731825,0.0,0.0,5.608865886588659,5.908595859585959,0.29972997299729975,0.8748668424766928,0.8938202615689236,0.018953419092230805,456,40
largest_passenger_minute_improvements,9,2026,Winterthur,Zürich HB,13072.843262619997,21.683646112600538,21.57015192135836,0.11349419124217874,6.809651474530725,1483.691773326822,20.17168106444246,20.133849667361737,1.5119650481580778,1.4363022539966237,0.0,0.0,4.015460232350314,4.015460232350314,0.0,0.9302716415723339,0.9334125109905034,0.0031408694181694896,1511,1574
largest_passenger_minute_improvements,10,2026,Meiringen,Interlaken Ost,588.9454491200001,32.473684210526315,30.034358047016273,2.4393261635100423,146.35956981060252,1436.6300429185887,29.26315789473684,28.88728149487643,3.2105263157894726,1.1470765521398432,0.0,0.0,14.903402903811251,15.326898734177215,0.4234958303659635,0.9011345218800647,0.9618078551789191,0.06067333329885438,875,589
