code,name,canton,fromValue,fromWeight,toValue,toWeight,deltaMin,deltaLabel,window,fromYear,toYear,level,metric,weightMode
SG-3427,Wil (SG),SG,10.272846153846155,130.0,10.121384615384615,130.0,-0.15146153846153965,-9 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3443,Gossau (SG),SG,12.026538461538461,130.0,11.784538461538464,130.0,-0.24199999999999733,-15 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SH-2937,Neuhausen am Rheinfall,SH,6.754076923076923,130.0,4.866846153846154,130.0,-1.8872307692307686,-1 min 53 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SH-2939,Schaffhausen,SH,6.301692307692308,130.0,4.975230769230769,130.0,-1.3264615384615395,-1 min 20 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SO-2407,Oensingen,SO,6.167307692307692,130.0,6.142307692307693,130.0,-0.024999999999999467,-1 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SO-2513,Biberist,SO,6.383076923076922,130.0,6.587230769230769,130.0,0.20415384615384635,+12 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SO-2526,Lohn-Ammannsegg,SO,6.405846153846154,130.0,6.581923076923077,130.0,0.17607692307692346,+11 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SO-2546,Grenchen,SO,7.467461538461539,260.0,6.9806923076923075,260.0,-0.48676923076923106,-29 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SO-2581,Olten,SO,5.826461538461539,130.0,5.879846153846155,130.0,0.053384615384616474,+3 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SO-2601,Solothurn,SO,6.5654615384615385,130.0,6.651692307692308,130.0,0.08623076923076933,+5 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SZ-1321,Feusisberg,SZ,6.855384615384616,130.0,6.409999999999999,130.0,-0.4453846153846168,-27 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SZ-1322,Freienbach,SZ,5.622307692307692,130.0,5.694153846153847,130.0,0.07184615384615434,+4 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SZ-1331,Küssnacht (SZ),SZ,8.410230769230768,130.0,7.868846153846153,130.0,-0.5413846153846151,-32 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SZ-1362,Arth,SZ,8.548692307692306,130.0,7.787538461538461,130.0,-0.761153846153845,-46 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SZ-1364,Ingenbohl,SZ,12.561538461538461,130.0,11.942307692307692,130.0,-0.6192307692307697,-37 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
TG-4436,Romanshorn,TG,15.14176923076923,130.0,14.930923076923078,130.0,-0.2108461538461519,-13 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
TG-4461,Amriswil,TG,14.666461538461537,130.0,14.608538461538458,130.0,-0.0579230769230783,-3 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
TG-4566,Frauenfeld,TG,11.745769230769229,130.0,11.79676923076923,130.0,0.05100000000000193,+3 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
TG-4671,Kreuzlingen,TG,13.916615384615383,130.0,14.121307692307692,130.0,0.20469230769230862,+12 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
TG-4946,Weinfelden,TG,13.358923076923078,130.0,13.536615384615386,130.0,0.1776923076923076,+11 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
TI-5002,Bellinzona,TI,10.576923076923077,130.0,9.861538461538462,130.0,-0.7153846153846146,-43 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
TI-5061,Airolo,TI,16.146153846153847,130.0,15.465384615384615,130.0,-0.6807692307692328,-41 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
TI-5072,Faido,TI,17.076923076923077,130.0,16.396153846153847,130.0,-0.6807692307692292,-41 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
TI-5192,Lugano,TI,12.392307692307693,130.0,11.684615384615384,130.0,-0.7076923076923087,-42 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
TI-5250,Chiasso,TI,13.923076923076923,130.0,13.23076923076923,130.0,-0.6923076923076934,-42 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
TI-5281,Biasca,TI,18.023076923076925,130.0,17.342307692307692,130.0,-0.6807692307692328,-41 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
UR-1206,Erstfeld,UR,14.376923076923077,130.0,13.696153846153846,130.0,-0.680769230769231,-41 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
UR-1207,Flüelen,UR,13.492307692307692,130.0,12.811538461538461,130.0,-0.680769230769231,-41 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
UR-1208,Göschenen,UR,15.23076923076923,130.0,14.55,130.0,-0.6807692307692292,-41 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VD-5401,Aigle,VD,10.078153846153846,130.0,8.43723076923077,130.0,-1.6409230769230767,-1 min 38 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VD-5402,Bex,VD,10.964769230769232,130.0,9.759846153846153,130.0,-1.2049230769230785,-1 min 12 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VD-5586,Lausanne,VD,8.256769230769232,130.0,6.38223076923077,130.0,-1.874538461538462,-1 min 52 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VD-5642,Morges,VD,11.511076923076924,130.0,7.306846153846154,130.0,-4.2042307692307705,-4 min 12 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VD-5724,Nyon,VD,12.509923076923076,130.0,8.417,130.0,-4.092923076923077,-4 min 6 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VD-5805,Oron,VD,6.1273846153846145,130.0,5.66276923076923,130.0,-0.4646153846153842,-28 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VD-5886,Montreux,VD,9.359923076923076,130.0,7.712923076923077,130.0,-1.6469999999999994,-1 min 39 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VD-5890,Vevey,VD,8.631384615384615,130.0,6.966307692307692,130.0,-1.6650769230769233,-1 min 40 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VD-5938,Yverdon-les-Bains,VD,11.431461538461539,130.0,11.948076923076924,130.0,0.5166153846153847,+31 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VS-6002,Brig-Glis,VS,10.905153846153846,130.0,10.745153846153846,130.0,-0.16000000000000014,-10 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VS-6004,Eggerberg,VS,10.890153846153845,130.0,13.297769230769232,130.0,2.4076153846153865,+2 min 24 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VS-6110,Leuk,VS,9.067076923076923,130.0,8.952230769230768,130.0,-0.11484615384615537,-7 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VS-6136,Martigny,VS,11.921076923076923,130.0,11.794846153846157,130.0,-0.12623076923076582,-8 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VS-6191,Ausserberg,VS,10.705153846153847,130.0,13.57446153846154,130.0,2.869307692307693,+2 min 52 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VS-6195,Ferden,VS,11.559384615384616,130.0,15.143384615384614,130.0,3.583999999999998,+3 min 35 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VS-6204,Steg-Hohtenn,VS,10.381538461538463,130.0,14.058384615384615,130.0,3.676846153846151,+3 min 41 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VS-6217,Saint-Maurice,VS,11.767923076923076,130.0,9.946923076923076,130.0,-1.8209999999999997,-1 min 49 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VS-6248,Sierre,VS,9.866384615384614,130.0,9.741923076923076,130.0,-0.12446153846153862,-7 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VS-6266,Sion,VS,10.657384615384615,130.0,10.52430769230769,130.0,-0.1330769230769242,-8 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
VS-6297,Visp,VS,8.884307692307692,130.0,8.841461538461537,130.0,-0.04284615384615442,-3 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
XX-Konstanz,Konstanz,,15.342307692307692,130.0,15.026923076923078,130.0,-0.31538461538461426,-19 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
