level,weightMode,year,yearNum,code,name,canton,originCount,odCellCount,totalWeight,avgTotalMin,avgRollingMin,avgDwellMin,avgTransferMin,avgWaitMin,avgTotalPlusWaitMin,rollingPct,dwellPct,transferPct,rollingPassengerMinDay,dwellPassengerMinDay,transferPassengerMinDay,waitPassengerMinDay
municipality,unweighted,2022,2022.0,SG-3443,Gossau (SG),SG,1,130,130.0,143.24684615384615,117.72515384615384,7.594692307692309,17.927000000000003,20.921307692307693,164.16815384615384,82.18341765075779,5.301821653745633,12.514760695496587,,,,
municipality,unweighted,2023,2023.0,SG-3443,Gossau (SG),SG,1,130,130.0,146.06153846153845,119.91684615384614,7.624461538461539,18.52023076923077,20.49030769230769,166.55184615384613,82.100221192332,5.22003370549821,12.679745102169793,,,,
municipality,unweighted,2024,2024.0,SG-3443,Gossau (SG),SG,1,130,130.0,142.504,117.51992307692308,7.836076923076922,17.148,20.260384615384616,162.7643846153846,82.46780657169138,5.49884699592778,12.033346432380846,,,,
municipality,unweighted,2025,2025.0,SG-3443,Gossau (SG),SG,1,130,130.0,144.49076923076925,118.90884615384616,6.998461538461538,18.58346153846154,19.835,164.32576923076925,82.2951160042164,4.843535386875924,12.861348608907674,,,,
municipality,unweighted,2026,2026.0,SG-3443,Gossau (SG),SG,1,130,130.0,144.6330769230769,119.62230769230769,6.906153846153845,18.104615384615386,20.008076923076924,164.64115384615383,82.70743472873001,4.774947745754509,12.517617525515497,,,,
municipality,unweighted,2035,2035.0,SG-3443,Gossau (SG),SG,1,130,130.0,138.59646153846154,111.12084615384614,9.987692307692308,17.487923076923074,18.055384615384614,156.65184615384615,80.17581756443998,7.206311183435697,12.617871252124317,,,,
municipality,unweighted,1982,1982.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,168.35438461538462,129.725,10.939538461538461,27.689846153846155,34.58861538461539,202.943,77.05472019416916,6.497923108168803,16.44735669766203,,,,
municipality,unweighted,2002,2002.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,158.78453846153846,122.897,6.839538461538462,29.048,29.247999999999998,188.03253846153845,77.3985938371252,4.307433537173499,18.2939726257013,,,,
municipality,unweighted,2005,2005.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,146.72261538461538,115.77053846153846,5.907923076923077,25.044153846153844,26.933153846153846,173.65576923076924,78.90435851218994,4.0265933519765715,17.069048135833498,,,,
municipality,unweighted,2008,2008.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,143.98576923076922,113.76576923076922,6.878384615384615,23.341615384615388,21.737307692307688,165.72307692307692,79.01181473596482,4.77712808156789,16.21105718246729,,,,
municipality,unweighted,2009,2009.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,143.2953076923077,112.69676923076923,6.718923076923077,23.879615384615384,22.351076923076917,165.6463846153846,78.64651749292345,4.68886468449501,16.664617822581555,,,,
municipality,unweighted,2011,2011.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,143.39246153846153,112.32546153846154,6.754076923076923,24.31292307692308,22.182230769230767,165.5746923076923,78.33428642853234,4.710203626196421,16.95550994527124,,,,
municipality,unweighted,2012,2012.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,143.44615384615383,112.19915384615385,7.494230769230769,23.752769230769232,21.99484615384615,165.44099999999997,78.21691334191334,5.2244208494208495,16.55866580866581,,,,
municipality,unweighted,2013,2013.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,136.33123076923079,111.30869230769231,5.178230769230769,19.844307692307694,21.882153846153845,158.21338461538463,81.64577674509931,3.7982718559887507,14.555951398911924,,,,
municipality,unweighted,2014 Q1/2,2014.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,136.36153846153846,110.9696923076923,4.866846153846154,20.525,21.81476923076923,158.1763076923077,81.37902634399502,3.5690754216731544,15.05189823433181,,,,
municipality,unweighted,2014 Q3/4,2014.5,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,136.37853846153848,111.20292307692308,4.807615384615385,20.368000000000002,21.579692307692305,157.9582307692308,81.53989940894151,3.5251993743658065,14.934901216692678,,,,
municipality,unweighted,2015,2015.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,136.2896153846154,111.27730769230769,4.745769230769231,20.266538461538467,21.722076923076923,158.0116923076923,81.64767900934943,3.4821209359028997,14.87020005474767,,,,
municipality,unweighted,2016,2016.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,140.88953846153845,115.84807692307692,5.953846153846154,19.087615384615383,18.907076923076925,159.79661538461536,82.22617391475264,4.225896556167298,13.547929529080065,,,,
municipality,unweighted,2017,2017.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,140.11115384615385,114.68292307692309,6.132846153846153,19.295384615384616,18.96630769230769,159.07746153846153,81.85138722278191,4.377129147462591,13.771483629755496,,,,
municipality,unweighted,2018,2018.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,140.51284615384617,114.79138461538463,6.03123076923077,19.690230769230773,18.987692307692306,159.50053846153847,81.69458363237526,4.292298486806845,14.013117880817905,,,,
municipality,unweighted,2019,2019.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,134.62992307692306,109.05107692307692,5.334538461538462,20.244307692307693,19.53284615384615,154.16276923076921,81.00062336124843,3.9623720638171083,15.03700457493448,,,,
municipality,unweighted,2020,2020.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,135.53053846153847,109.68476923076922,5.701692307692308,20.144076923076927,19.317769230769226,154.84830769230769,80.92992950212185,4.20694285761313,14.863127640265013,,,,
municipality,unweighted,2021,2021.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,133.98569230769235,108.70638461538464,5.154923076923077,20.124384615384617,19.026230769230768,153.01192307692313,81.13283048591869,3.8473683183164207,15.019801195764872,,,,
municipality,unweighted,2022,2022.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,133.7416923076923,108.54484615384614,5.133846153846155,20.063,18.808538461538458,152.55023076923075,81.16006630462165,3.838628078695903,15.001305616682448,,,,
municipality,unweighted,2023,2023.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,133.35076923076923,108.4603846153846,5.140000000000001,19.75038461538462,18.66430769230769,152.01507692307692,81.3346523916103,3.854495950529546,14.810851657860129,,,,
